"id","name","statcount","group","label"
"1",11222,"k",9852,"<10K","k"
"2",8937792,"bcherry",3038,"<5K","bcherry"
"3",8285392,"raffi",8053,"<10K","raffi"
"4",13039722,"jcummins",3657,"<5K","jcummins"
"5",16521996,"fat",9040,"<10K","fat"
"6",7852612,"isaach",38029,">20K","isaach"
"7",14628988,"x5315",8438,"<10K","x5315"
"8",13334762,"github",3393,"<5K","github"
"9",8438932,"dsa",6659,"<10K","dsa"
"10",14589771,NA,NA,"NA",NA
"11",17346623,"dhg",5345,"<10K","dhg"
"12",229237555,"slightlylate",23764,">20K","slightlylate"
"13",7378572,"greenberg",7135,"<10K","greenberg"
"14",18884627,"ronalddevera",4652,"<5K","ronalddevera"
"15",12520552,"finkel",1585,"<5K","finkel"
"16",666073,"trammell",16898,"<20K","trammell"
"17",22891211,"chanian",11400,"<20K","chanian"
"18",821958,NA,NA,"NA",NA
"19",777925,"themattharris",5305,"<10K","themattharris"
"20",26123649,"brianellin",3203,"<5K","brianellin"
"21",637763,"voodootikigod",18383,"<20K","voodootikigod"
"22",256779565,NA,NA,"NA",NA
"23",949521,"stop",11829,"<20K","stop"
"24",14609434,"tall",658,"<5K","tall"
"25",24251218,NA,NA,"NA",NA
"26",783214,"twitter",3373,"<5K","twitter"
"27",18179447,NA,NA,"NA",NA
"28",899701,"netik",13098,"<20K","netik"
"29",15192631,"robstenson",1026,"<5K","robstenson"
"30",795244,"mattknox",6047,"<10K","mattknox"
"31",8215402,"gbuyitjames",2272,"<5K","gbuyitjames"
"32",11322372,"holman",25584,">20K","holman"
"33",1671811,"paul_irish",24936,">20K","paul_irish"
"34",22548447,"rno",2774,"<5K","rno"
"35",160992242,"simonheys",674,"<5K","simonheys"
"36",22937232,"mabb0tt",3058,"<5K","mabb0tt"
"37",51573,"Zhanna",4573,"<5K","Zhanna"
"38",14602130,"cra",44373,">20K","cra"
"39",16116572,"zed",3922,"<5K","zed"
"40",1979921,"joshelman",33514,">20K","joshelman"
"41",15608761,"AriyaHidayat",13948,"<20K","AriyaHidayat"
"42",956501,"beau",5564,"<10K","beau"
"43",24609163,NA,NA,"NA",NA
"44",1523501,"connors",7461,"<10K","connors"
"45",11628,"t",8707,"<10K","t"
"46",1321791,"cynk",4589,"<5K","cynk"
"47",5943162,"simonrh",706,"<5K","simonrh"
"48",792690,"hoverbird",15134,"<20K","hoverbird"
"49",12497,"simonw",9245,"<10K","simonw"
"50",193662733,"DOTSCamdenMusic",90,"<5K","DOTSCamdenMusic"
"51",9019482,"akashgarg",1278,"<5K","akashgarg"
"52",6253282,"twitterapi",3581,"<5K","twitterapi"
"53",668473,"sampullara",20338,">20K","sampullara"
"54",11407672,"sunghu",5999,"<10K","sunghu"
"55",14273705,"Magnuson",15874,"<20K","Magnuson"
"56",36519354,"tnarg",1151,"<5K","tnarg"
"57",17736965,"skilldrick",35269,">20K","skilldrick"
"58",529817556,"twoffice",397,"<5K","twoffice"
"59",795649,"rsarver",31335,">20K","rsarver"
"60",389153,"danwrong",14737,"<20K","danwrong"
"61",22273667,"sm",33804,">20K","sm"
"62",9160152,"mccv",41947,">20K","mccv"
"63",786983,"skr",10098,"<20K","skr"
"64",12052632,"mzsanford",6466,"<10K","mzsanford"
"65",17505251,"gtcampbell",1598,"<5K","gtcampbell"
"66",12249,"benward",25943,">20K","benward"
"67",19282775,"jchaffey",1041,"<5K","jchaffey"
"68",14341663,"TimHaines",57407,">20K","TimHaines"
"69",76611461,"JShoee",2159,"<5K","JShoee"
"70",10273252,"timtrueman",10533,"<20K","timtrueman"
"71",421683,"noahlt",13436,"<20K","noahlt"
"72",7305682,"bshine",18982,"<20K","bshine"
"73",14624209,"booshtukka",9754,"<10K","booshtukka"
"74",638323,"kneath",116,"<5K","kneath"
"75",734903,"mjackson",15534,"<20K","mjackson"
"76",1747381,"adam_messinger",3267,"<5K","adam_messinger"
"77",140108433,"angustweets",8984,"<10K","angustweets"
"78",20,"ev",7967,"<10K","ev"
"79",12623772,"erikeldridge",3149,"<5K","erikeldridge"
"80",83353811,"petefrasermusic",103336,">20K","petefrasermusic"
"81",1249881,"binder",3531,"<5K","binder"
"82",3452911,"kevinweil",16311,"<20K","kevinweil"
"83",12161,"Natbat",18708,"<20K","Natbat"
"84",13035,"ph",1276,"<5K","ph"
"85",9267332,"rtomayko",3691,"<5K","rtomayko"
"86",161554085,"sjiang",848,"<5K","sjiang"
"87",13166,"shinypb",45032,">20K","shinypb"
"88",8207832,"mdo",27207,">20K","mdo"
"89",819797,"episod",23296,">20K","episod"
"90",668423,"mikeal",43571,">20K","mikeal"
"91",17874544,"Support",17105,"<20K","Support"
"92",5517,"jeanpaul",5769,"<10K","jeanpaul"
"93",9395832,"dcurtis",12025,"<20K","dcurtis"
"94",18975861,NA,NA,"NA",NA
"95",19760709,"chrisError",4297,"<5K","chrisError"
"96",13,"biz",6404,"<10K","biz"
"97",4519121,"Oatmeal",6619,"<10K","Oatmeal"
"98",2006261,"maccaw",9600,"<10K","maccaw"
"99",14187249,"kvanscha",4537,"<5K","kvanscha"
"100",13919072,"robinsloan",87,"<5K","robinsloan"
"101",291,"goldman",17901,"<20K","goldman"
"102",16939148,"delbius",25127,">20K","delbius"
"103",133788216,"HowardKufluk",100,"<5K","HowardKufluk"
"104",752673,"jeresig",9365,"<10K","jeresig"
"105",1692881,"bhaggs",12551,"<20K","bhaggs"
"106",2187,"reid",3972,"<5K","reid"
"107",6385432,"dickc",10369,"<20K","dickc"
"108",19983,"rossbruniges",21173,">20K","rossbruniges"
"109",23468302,"jle",3634,"<5K","jle"
"110",20231408,"ChrisHouston0",0,"<5K","ChrisHouston0"
"111",3133271,"jonathanbriggs",3518,"<5K","jonathanbriggs"
"112",15414399,NA,NA,"NA",NA
"113",64161484,"TrevorBoyle",1050,"<5K","TrevorBoyle"
"114",89797630,"TraynorBird",7091,"<10K","TraynorBird"
"115",14228118,"gregpass",1431,"<5K","gregpass"
"116",9946842,"amac",7051,"<10K","amac"
"117",20536157,"google",22191,">20K","google"
"118",7320972,"boblord",4620,"<5K","boblord"
"119",9576402,"an_14702563508",32,"<5K","an_14702563508"
"120",16686076,"getify",86570,">20K","getify"
"121",227302140,"LairdofTulloch",192,"<5K","LairdofTulloch"
"122",443178876,"fakeAngus",222,"<5K","fakeAngus"
"123",647473,"sayrer",13566,"<20K","sayrer"
"124",31393,"richardhenry",4027,"<5K","richardhenry"
"125",11353102,"amason",7422,"<10K","amason"
"126",199612181,"kpktest",507,"<5K","kpktest"
"127",15377059,"jamienewman",14777,"<20K","jamienewman"
"128",41329897,"j4cob",8200,"<10K","j4cob"
"129",56558855,NA,NA,"NA",NA
"130",15335058,"todd",6681,"<10K","todd"
"131",5841,"stirman",8838,"<10K","stirman"
"132",308230587,NA,NA,"NA",NA
"133",248858493,"GoogleWebStudio",284,"<5K","GoogleWebStudio"
"134",12806822,"SlexAxton",18932,"<20K","SlexAxton"
"135",42242439,"okinsey",1641,"<5K","okinsey"
"136",14927800,"jasoncosta",8280,"<10K","jasoncosta"
"137",91985735,"nodejs",3402,"<5K","nodejs"
"138",29255412,"tjholowaychuk",16357,"<20K","tjholowaychuk"
"139",15675252,"mart3ll",14827,"<20K","mart3ll"
"140",9533042,"BrendanEich",50972,">20K","BrendanEich"
"141",1199081,"ded",15062,"<20K","ded"
"142",12,"jack",20570,">20K","jack"
"143",6564962,"_ade",25044,">20K","_ade"
"144",207604485,"UtinniGames",63,"<5K","UtinniGames"
"145",527163603,"esprima",160,"<5K","esprima"
"146",357750891,"TwitterAds",5771,"<10K","TwitterAds"
"147",9943672,"lorenb",4280,"<5K","lorenb"
"148",109184306,"JoinTheFlock",3671,"<5K","JoinTheFlock"
"149",20733754,"mrdoob",19620,"<20K","mrdoob"
"150",33423,"gruber",52371,">20K","gruber"
"151",16826261,"little_jon_cg",3255,"<5K","little_jon_cg"
"152",6490602,"rmurphey",17043,"<20K","rmurphey"
"153",787864,"bentlegen",10445,"<20K","bentlegen"
"154",16049997,"AshBerlin",9958,"<10K","AshBerlin"
"155",6104,"iamcal",1111,"<5K","iamcal"
"156",15184804,"Emergency_In_SF",1385,"<5K","Emergency_In_SF"
"157",15431118,"Souders",6614,"<10K","Souders"
"158",5725652,"ericlaw",47595,">20K","ericlaw"
"159",22677962,"HBehrens",4112,"<5K","HBehrens"
"160",22753913,"bkufluk",134,"<5K","bkufluk"
"161",460727206,"Instachuck",5,"<5K","Instachuck"
"162",205926603,"hackweek",1,"<5K","hackweek"
"163",234489024,"TwitterComms",82,"<5K","TwitterComms"
"164",20664617,"richardjcooper",260,"<5K","richardjcooper"
"165",376825877,"TwitterOSS",5357,"<10K","TwitterOSS"
"166",16931300,"webfaction",1979,"<5K","webfaction"
"167",113713261,"ChromiumDev",4302,"<5K","ChromiumDev"
"168",83422635,NA,NA,"NA",NA
"169",32473255,"massiverobot",8,"<5K","massiverobot"
"170",500016751,"wrongdan",52,"<5K","wrongdan"
"171",110797455,"mrkrsl",2395,"<5K","mrkrsl"
"172",57433,"ptg",1211,"<5K","ptg"
"173",176565308,"h5bp",630,"<5K","h5bp"
"174",28525506,"wavish",6179,"<10K","wavish"
"175",160482915,"coderonfire",0,"<5K","coderonfire"
"176",241384809,"jshangouts",13,"<5K","jshangouts"
"177",124510372,"DownIGo",792,"<5K","DownIGo"
"178",288457344,NA,NA,"NA",NA
"179",93473293,"RegexTip",2253,"<5K","RegexTip"
"180",99765600,NA,NA,"NA",NA
"181",10760422,"daringfireball",16457,"<20K","daringfireball"
"182",44709792,NA,NA,"NA",NA
"183",172020392,"TwitterSF",1467,"<5K","TwitterSF"
"184",92638464,"twi_release",1117,"<5K","twi_release"
"185",376585411,"dart_lang",1403,"<5K","dart_lang"
"186",1581511,"macrumorslive",2864,"<5K","macrumorslive"
"187",308598960,"SFWarningSiren",54,"<5K","SFWarningSiren"
"188",805339,NA,NA,"NA",NA
"189",6844292,"TwitterEng",381,"<5K","TwitterEng"
"190",16619832,"NSFVoyager2",14171,"<20K","NSFVoyager2"
"191",165520703,"DBAHULK",161,"<5K","DBAHULK"
"192",265216716,"llamajs",932,"<5K","llamajs"
"193",38482947,"Screenr",149,"<5K","Screenr"
"194",15813140,"googlecloud",2985,"<5K","googlecloud"
"195",206379571,NA,NA,"NA",NA
"196",25489250,"DerrenBrown",13811,"<20K","DerrenBrown"
"197",217729151,NA,NA,"NA",NA
"198",554774822,"kpkLeFake",2,"<5K","kpkLeFake"
