Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Brain_size_Ref,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism,Mass_Ref,MeanGroupSize,AdultMales,AdultFemale,AdultSexRatio,Social_Organization_Ref,InterbirthInterval_d,Gestation,WeaningAge_d,MaxLongevity_m,LitterSz,Life_History_Ref,GR_MidRangeLat_dd,Precip_Mean_mm,Temp_Mean_degC,AET_Mean_mm,PET_Mean_mm,Climate_Ref,HomeRange_km2,HomeRangeRef,DayLength_km,DayLengthRef,Territoriality,Fruit,Leaves,Fauna,DietRef1,Canine_Dimorphism,Canine_Dimorphism_Ref,Feed,Move,Rest,Social,Activity_Budget_Ref
Lagothrix_lagotricha,Atelidae,Lagothrix,lagotricha,96.5,98,Isler et al 2008,7280,7020,1.037,Isler et al 2008,33.1,7.3,8.2,1.12,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,638.75,223,312.66,360,1.01,Jones et al. 2009,0.02,2265.6,25.8,1516.9,1543.4,Jones et al. 2009,2.82,Jones et al. 2009,1.1,Nunn et al. 2003,0.5805,78.9,11.4,4.9,Campbell et al. 2007; Kappeler & Pereira 2003,1.77,Plavcan & Ruff 2008,25.8,38.8,29.9,5.5,Campbell et al. 2007
Trachypithecus_obscurus,Cercopithecidae,Trachypithecus,obscurus,62.12,59.97,Isler et al 2008,7346.9,6764.8,1.086,Isler et al 2008,10.2,2.5,7,2.8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,145,362.93,300,1.01,Jones et al. 2009,6.82,2019.8,25.5,1624.5,1834.8,Jones et al. 2009,0.33,Curtin 1976; 1980,0.48,Nunn et al. 2003,0.7405,35,58,,Campbell et al. 2007,1.814,Plavcan & Ruff 2008,,,,,
Cercopithecus_neglectus,Cercopithecidae,Cercopithecus,neglectus,65.97,60.86,Isler et al 2008,7350,4130,1.78,Isler et al 2008,4.5,1.5,1.5,1,Kamilar 2006,584,177,417.62,315.6,1.02,Jones et al. 2009,-1.11,1382.9,24.1,1329.5,1559.7,Jones et al. 2009,0.06,Jones et al. 2009,0.42,Nunn et al. 2003,1.5196,74.4,9.1,4.7,Campbell et al. 2007,1.776,Plavcan & Ruff 2008,,,,,
Trachypithecus_vetulus,Cercopithecidae,Trachypithecus,vetulus,61.29,60.4,Isler et al 2008,7371,5103,1.444,Isler et al 2008,7.9,1,3.8,3.8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,783.83,211,245.78,276,1.01,Jones et al. 2009,8.03,1434.1,25.8,1544.4,1644.5,Jones et al. 2009,0.02,Jones et al. 2009,,,,28,60,,Campbell et al. 2007,1.791,Plavcan & Ruff 2008,,,,,
Nomascus_gabriellae,Hylobatidae,Nomascus,gabriellae,119.38,117.25,Isler et al 2008,7410,7320,1.012,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cercopithecus_mitis,Cercopithecidae,Cercopithecus,mitis,71.33,65.24,Isler et al 2008,7590.6,4628,1.64,Isler et al 2008,18.6,1,8.8,8.8,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,565.75,132,688.08,325.2,1,Jones et al. 2009,-1.9,1090.8,22.1,1116.2,1528.5,Jones et al. 2009,0.1,Jones et al. 2009,1,Nunn et al. 2003,2.8025,51.6,20.4,17.5,Campbell et al. 2007,1.97,Plavcan & Ruff 2008,39.7,19.4,27.6,9.5,Kamilar 2006
Trachypithecus_phayrei,Cercopithecidae,Trachypithecus,phayrei,72.84,69.15,Isler et al 2008,7767.8,7182,1.082,Isler et al 2008,,,,,,456.25,167,305.87,339.6,1,Jones et al. 2009,20.48,1458.7,21.3,1055.7,1419.1,Jones et al. 2009,0.958,Suarez pers comm,1,Pontzer and Kamilar 2006,0.9054,37,46,,Suarez pers comm,,,,,,,
Ateles_geoffroyi,Atelidae,Ateles,geoffroyi,105.09,109.59,Isler et al 2008,7780,7290,1.067,Isler et al 2008,15,,4.1,,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1048.15,232,816.35,327.6,1.01,Jones et al. 2009,12.38,1539.3,24.3,1344.1,1624.9,Jones et al. 2009,0.73,Jones et al. 2009,1.7,Nunn et al. 2003,1.7633,76.8,14.9,1.4,Campbell et al. 2007,1.579,Plavcan & Ruff 2008,33.5,32.6,24.1,9.8,Campbell et al. 2007
Nomascus_concolor,Hylobatidae,Nomascus,concolor,,,,7790,7620,1.022,Smith and Jungers 1997,,,,,,821.25,207,635.13,529.2,1.01,Jones et al. 2009,22.7,1196.2,17.3,1062.3,1242.1,Jones et al. 2009,0.87,Campbell et al. 2007,1.3,Campbell et al. 2007,1.2352,22.5,63,7,Campbell et al. 2007; Kappeler & Pereira 2003,1.125,Plavcan & Ruff 2008,,,,,
Lophocebus_aterrimus,Cercopithecidae,Lophocebus,aterrimus,101.59,91,Isler et al 2008,7840,5760,1.361,Isler et al 2008,,,,,,,,,321.6,,Jones et al. 2009,-1.65,1578.1,25.1,1520.1,1594.9,Jones et al. 2009,0.34,Jones et al. 2009,,,,,,,,1.897,Plavcan & Ruff 2008,,,,,
Ateles_belzebuth,Atelidae,Ateles,belzebuth,117.02,112.75,Isler et al 2008,7850,8484.4,0.925,Isler et al 2008,22.125,4.25,8.75,2.06,Campbell et al 2007,1095,184,,336,1.02,Jones et al. 2009,-0.44,2270.1,25.8,1493.3,1513,Jones et al. 2009,2.28,Jones et al. 2009,2.3,Pontzer and Kamilar 2006,1.3499,82.7,9,0.4,Campbell et al. 2007,,,18.97,23.53,54.73,2.73,Campbell et al. 2007
Lophocebus_albigena,Cercopithecidae,Lophocebus,albigena,93.97,89.96,Isler et al 2008,7890,6010,1.313,Isler et al 2008,15.8,4.3,7.8,1.81,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,770.15,181,211.71,392.4,1.01,Jones et al. 2009,0.22,1416.8,23.8,1349.5,1566.9,Jones et al. 2009,1.98,Jones et al. 2009,1.2,Nunn et al. 2003,0.7558,64,5,14,Nunn et al 2003; Kappeler & Pereira 2003,2.187,Plavcan & Ruff 2008,37.5,27.5,12,6.25,Kamilar 2006
Macaca_mulatta,Cercopithecidae,Macaca,mulatta,88.98,84.26,Isler et al 2008,7915.1,5670.5,1.396,Isler et al 2008,40.7,4.5,23.8,5.29,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,385.5,165,304.16,432,1.01,Jones et al. 2009,25.07,1173.6,16.9,902.2,1218,Jones et al. 2009,5.91,Jones et al. 2009,1.6,Nunn et al. 2003,0.5833,8.5,84.4,0,Campbell et al. 2007,2.072,Plavcan & Ruff 2008,46,11.5,25,,Ashmore 1992
Piliocolobus_badius,Cercopithecidae,Piliocolobus,badius,63.59,62.46,Isler et al 2008,8360,8210,1.018,Isler et al 2008,49.4,9.4,18,1.91,Kamilar 2006,660.65,151.41,783.93,,1,Jones et al. 2009,9.69,1614.6,26.1,1122.4,1554.7,Jones et al. 2009,0.42,Jones et al. 2009,0.55,Nunn et al. 2003,0.7521,35,45,0,Campbell et al. 2007,1.557,Plavcan & Ruff 2008,52,21,13,13,Campbell et al. 2007
Colobus_vellerosus,Cercopithecidae,Colobus,vellerosus,73.07,69.73,Isler et al 2008,8420,7220,1.166,Isler et al 2008,,,,,,,,,,1.02,Jones et al. 2009,7.44,1067.2,26.8,1173.1,1620.5,Jones et al. 2009,0.29,Jones et al. 2009,,,,,,,,,,59,24,15,3,Campbell et al. 2007
Ateles_paniscus,Atelidae,Ateles,paniscus,103.85,101.2,Isler et al 2008,8490,8070,1.052,Isler et al 2008,18.2,4,2.3,0.58,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1072.18,229,805.41,453.6,1,Jones et al. 2009,2.06,1576.9,25.6,1456.6,1696.9,Jones et al. 2009,1.36,Jones et al. 2009,2.4,Nunn et al. 2003,1.8238,79.8,7.9,0.1,Campbell et al. 2007,1.567,Plavcan & Ruff 2008,,,,0.9,Sussman et al. 2005
Ateles_fusciceps,Atelidae,Ateles,fusciceps,114.24,108.74,Isler et al 2008,8890,9160,0.971,Isler et al 2008,,,,,,882,227,410,552,1,Jones et al. 2009,,,,,,,,,,,,,,,,,,,,,,
Macaca_silenus,Cercopithecidae,Macaca,silenus,85,80,Isler et al 2008,8900,6100,1.459,Isler et al 2008,19.6,3.1,7.1,2.29,Nunn and van Schaik - Infanticide Chapt; Ashmore Diss,510.39,176,362.93,480,1.01,Jones et al. 2009,13.19,880.7,25.3,953,1571.9,Jones et al. 2009,0.88,Jones et al. 2009,1.63,Pontzer and Kamilar 2006,1.5399,,,,,2.437,Plavcan & Ruff 2008,,,,4.7,Sussman et al. 2005
Cercocebus_torquatus,Cercopithecidae,Cercocebus,torquatus,105.99,94.98,Isler et al 2008,9470,5500,1.722,Isler et al 2008,26.9,,,,van Schaik et al. 1999,434.35,167,,360,1.01,Jones et al. 2009,4.2,1756.2,25.2,1238.3,1560.8,Jones et al. 2009,,,,Nunn et al. 2003,,,13,2,Nunn et al 2003; Kappeler & Pereira 2003,,,,,,,
Cercocebus_agilis,Cercopithecidae,Cercocebus,agilis,116.43,100.89,Isler et al 2008,9500,5660,1.678,Isler et al 2008,21.5,2,7.5,3.75,Kamilar 2006,,,,372,,Jones et al. 2009,,,,,,,,,,,,75,16,5,Kamilar 2006,1.962,Plavcan & Ruff 2008,34,31,13,10,Kamilar 2006
Piliocolobus_tephrosceles,Cercopithecidae,Piliocolobus,tephrosceles,70.95,72.45,Isler et al 2008,9559.6,7258,1.317,Isler et al 2008,34,3.5,10,2.86,Kamilar 2006,,,,,,,,,,,,,0.65,Struhsaker 1975,0.649,Struhsaker 1975,0.7134,,,,,,,46,35,8.5,8.5,Campbell et al. 2007
Brachyteles_arachnoides,Atelidae,Brachyteles,arachnoides,116.72,115.94,Isler et al 2008,9610,8070,1.191,Isler et al 2008,20.9,7,7.1,1.01,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1028.69,232,734.82,,1.02,Jones et al. 2009,-22.66,1327,21.2,1243.5,1361.2,Jones et al. 2009,1.04,Jones et al. 2009,0.9,Nunn et al. 2003,0.7821,20.8,67.1,0,Campbell et al. 2007; Kappeler & Pereira 2003,1.336,Plavcan & Ruff 2008,27.8,9.7,61,1.6,Campbell et al. 2007
Cercocebus_galeritus,Cercopithecidae,Cercocebus,galeritus,99.07,95.34,Isler et al 2008,9610,5260,1.827,Isler et al 2008,18.2,2,9.5,4.75,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,,175,365,252,1.01,Jones et al. 2009,-2.1,539.9,27.4,848.7,1747.6,Jones et al. 2009,0.51,Jones et al. 2009,1.2,Nunn et al. 2003,1.4892,76.6,8.8,8.2,Kamilar 2006,,,41.6,18.4,10.2,12.5,Kamilar 2006
Colobus_guereza,Cercopithecidae,Colobus,guereza,74.39,69.77,Isler et al 2008,9673,7505.6,1.289,Isler et al 2008,12,1.5,2.9,1.93,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,486.66,175,387.79,294,1,Jones et al. 2009,5.15,1089.2,23.2,1126.5,1560.5,Jones et al. 2009,0.3,Campbell et al. 2007,0.48,Nunn et al. 2003,0.735,19,73,0,Campbell et al. 2007; Kappeler & Pereira 2003,1.459,Plavcan & Ruff 2008,57.5,21.25,10.25,8.25,Campbell et al. 2007
Colobus_angolensis,Cercopithecidae,Colobus,angolensis,77.7,72.3,Isler et al 2008,9680,7570,1.279,Isler et al 2008,18.25,3.5,7,2,Kamilar 2006,,,,423.6,1.01,Jones et al. 2009,-4.16,1229.1,23.3,1225.3,1538.5,Jones et al. 2009,3.71,Campbell et al. 2007,0.983,Campbell et al. 2007,0.4523,22.6,53.3,0,Campbell et al. 2007; Kappeler & Pereira 2003,1.845,Plavcan & Ruff 2008,37.5,34.5,22,5,Campbell et al. 2007
Macaca_nigra,Cercopithecidae,Macaca,nigra,94.9,84.5,Isler et al 2008,9890,5470,1.808,Isler et al 2008,63.8,5.8,20.2,3.48,Kamilar 2006,540,176,365,408,1,Jones et al. 2009,,,,,,,,,6,Pontzer and Kamilar 2006,,,3,32,Nunn et al 2003,2.612,Plavcan & Ruff 2008,36.2,22.5,19.5,21.7,Kamilar 2006
Colobus_polykomos,Cercopithecidae,Colobus,polykomos,73.83,70.23,Isler et al 2008,9900,8300,1.193,Isler et al 2008,11,4,4,1,Hill & Lee 1998,442.41,185,213.78,366,1,Jones et al. 2009,9.06,1807.6,25.7,1090.5,1514.6,Jones et al. 2009,0.5,Campbell et al. 2007,0.57,Nunn et al. 2003,0.7108,41.5,53.5,0,Campbell et al. 2007; Kappeler & Pereira 2003,1.77,Plavcan & Ruff 2008,61,28,9,1,Campbell et al. 2007
Colobus_satanas,Cercopithecidae,Colobus,satanas,74.9,71.8,Isler et al 2008,10400,7420,1.402,Isler et al 2008,13.5,2.3,6,2.61,Kamilar 2006,,192.76,,,0.99,Jones et al. 2009,1.97,1654.6,24.1,1329.5,1500.3,Jones et al. 2009,2.72,Campbell et al. 2007,0.607,Campbell et al. 2007,0.3262,56,34,0,Campbell et al. 2007; Kappeler & Pereira 2003,,,60,23,4,8.1,Campbell et al. 2007
Trachypithecus_geei,Cercopithecidae,Trachypithecus,geei,81.3,,,10800,9500,1.137,Isler et al 2008,13.3,1.7,5.4,3.18,Hill & Lee 1998,,,,,1.02,Jones et al. 2009,26.79,1479.1,17.6,1040.9,1243.1,Jones et al. 2009,2.22,Jones et al. 2009,,,,,,,,,,,,,,
Macaca_fuscata,Cercopithecidae,Macaca,fuscata,102.92,96.78,Isler et al 2008,10970,8030,1.366,Isler et al 2008,53.7,3.4,17.5,5.15,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,486.66,174,265.04,396,1.02,Jones et al. 2009,35.88,1476.6,10.2,792.6,842.5,Jones et al. 2009,1.43,Jones et al. 2009,0.93,Nunn et al. 2003,0.6892,22.9,23.7,7,Campbell et al. 2007,2.04,Plavcan & Ruff 2008,43.3,19.9,20.1,15.2,Kamilar 2006
Cercocebus_torquatus_atys,Cercopithecidae,Cercocebus,torquatus_atys,94.68,86.8,Isler et al 2008,11000,6200,1.774,Isler et al 2008,90,9,25,2.78,Kamilar 2006,394.2,165.08,,321.6,1.01,Jones et al. 2009,7.92,1860.9,25.6,1275.4,1555.3,Jones et al. 2009,,,,,,68,,,Kamilar 2006,2.46,Plavcan & Ruff 2008,29,,,7.9,Kamilar 2006; Sussman et al. 2005
Pygathrix_nemaeus,Cercopithecidae,Pygathrix,nemaeus,91.41,89.5,Isler et al 2008,11000,8440,1.303,Isler et al 2008,9.3,1.3,3.7,2.85,Hill & Lee 1998,430.7,171,330,300,1.01,Jones et al. 2009,16.63,1895.3,22.5,1211.2,1472.1,Jones et al. 2009,,,,,,14,82,,Campbell et al. 2007,2.108,Plavcan & Ruff 2008,,,,,
Macaca_nemestrina,Cercopithecidae,Macaca,nemestrina,105.59,100.65,Isler et al 2008,11102.7,6539.2,1.698,Isler et al 2008,18.2,2.4,14.9,6.21,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,405.07,172,292.6,411.6,1.01,Jones et al. 2009,3.04,2449.8,24.7,1680.5,1732.2,Jones et al. 2009,1.75,Jones et al. 2009,1.8,Nunn et al. 2003,1.2059,74.2,11.1,12.2,Campbell et al. 2007,2.36,Plavcan & Ruff 2008,,,,,
Macaca_assamensis,Cercopithecidae,Macaca,assamensis,90.46,88.3,Isler et al 2008,11300,6900,1.638,Isler et al 2008,,,,,,,,,376.8,,,23.01,1475.6,14.2,1020.6,1260,Jones et al. 2009,,,,,,,,,,,,,,,,
Alouatta_pigra,Atelidae,Alouatta,pigra,51.13,48.75,Isler et al 2008,11400,6430,1.773,Isler et al 2008,6.6,1.925,2.175,1.13,Campbell et al 2007,,187,,240,1.01,Jones et al. 2009,18.8,1341.3,25.1,1373.8,1580.8,Jones et al. 2009,0.3,Jones et al. 2009,,,,40.8,45.1,0,Campbell et al. 2007,1.109,Plavcan & Ruff 2008,24.4,9.8,61.9,3.8,Campbell et al. 2007
Symphalangus_syndactylus,Hylobatidae,Symphalangus,syndactylus,123.5,122.45,Isler et al 2008,11880,10710,1.109,Isler et al 2008,4,1,1,1,van Schaik et al. 1999; Nunn & van Schaik 2000,1003.75,231,635.38,456,1.02,Jones et al. 2009,0.14,2267.2,24.2,1676.5,1761,Jones et al. 2009,0.313,Campbell et al. 2007,0.75,Pontzer and Kamilar 2006,1.189,44.2,42.4,9.4,Campbell et al. 2007,1.189,Plavcan & Ruff 2008,35.6,16.8,35.3,5.3,Kamilar 2006
Trachypithecus_johnii,Cercopithecidae,Trachypithecus,johnii,84.6,,,12000,11200,1.071,Isler et al 2008,,1.3,3.1,2.38,Nunn and van Schaik Infanticide,,,,408,1.02,Jones et al. 2009,10.75,1280.4,25.7,1126.2,1577.6,Jones et al. 2009,0.08,Jones et al. 2009,,,,25,52,,Campbell et al. 2007,,,,,,,
Macaca_arctoides,Cercopithecidae,Macaca,arctoides,100.7,99.8,Isler et al 2008,12200,8400,1.452,Isler et al 2008,31.1,,,,Ashmore 1992,558,177,299,350.4,1,Jones et al. 2009,,,,,,,,,1.7,Pontzer and Kamilar 2006,,,,,,,,,,,,
Trachypithecus_pileatus,Cercopithecidae,Trachypithecus,pileatus,103.64,91.41,Isler et al 2008,12247,11340,1.08,Isler et al 2008,7.8,1.05,3.55,3.38,Hill & Lee 1998,,,,302.4,,Jones et al. 2009,24.83,1903.1,20.3,1063.8,1264.7,Jones et al. 2009,0.43,Campbell et al. 2007,0.325,Campbell et al. 2007,0.4392,34,53,,Campbell et al. 2007,1.887,Plavcan & Ruff 2008,,,,,
Erythrocebus_patas,Cercopithecidae,Erythrocebus,patas,97.73,88.86,Isler et al 2008,12400,6500,1.908,Isler et al 2008,28.2,1.5,10.4,6.93,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,365,167,211.79,286.8,1.01,Jones et al. 2009,7.97,733.9,26.4,760.4,1596.5,Jones et al. 2009,28.24,Jones et al. 2009,3.2,Nunn et al. 2003,0.5337,10,2,36,Campbell et al. 2007,2.132,Plavcan & Ruff 2008,,,,,
Macaca_sylvanus,Cercopithecidae,Macaca,sylvanus,93.2,97.93,Isler et al 2008,14530.3,9625,1.51,Isler et al 2008,18.2,4.7,7,1.49,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,431.71,164,210.25,264,1.02,Jones et al. 2009,34.21,459.3,14.8,453.1,1163.5,Jones et al. 2009,2.63,Jones et al. 2009,1.664,Pontzer and Kamilar 2006,0.9093,2.6,10.9,8.05,Campbell et al. 2007,2.02,Plavcan & Ruff 2008,33.1,21.37,30.73,10.77,Kamilar 2006
Macaca_thibetana,Cercopithecidae,Macaca,thibetana,,,,15200,9500,1.6,Smith and Jungers 1997,38.3,4.5,11,2.44,Ashmore 1992,730,170,451.79,,1.01,Jones et al. 2009,28.38,1198,13,961.2,1031,Jones et al. 2009,,,,,,,,,,,,,,,,
Mandrillus_leucophaeus,Cercopithecidae,Mandrillus,leucophaeus,148,136,Isler et al 2008,17500,12500,1.4,Isler et al 2008,,,,,,513.43,179,486.66,400.8,1.01,Jones et al. 2009,5.21,2032.9,24.3,1219.9,1533.7,Jones et al. 2009,,,,,,,,,,4.1,Plavcan & Ruff 2008,,,,,
Rhinopithecus_roxellana,Cercopithecidae,Rhinopithecus,roxellana,117.76,112.7,Isler et al 2008,17900,11600,1.543,Isler et al 2008,,,,,,,199.34,,354,1,Jones et al. 2009,32.32,734,9,749.4,870.6,Jones et al. 2009,24.28,Jones et al. 2009,,,,,,,Campbell et al. 2007,2.508,Plavcan & Ruff 2008,,,,,
Papio_hamadryas,Cercopithecidae,Papio,hamadryas,146.17,133,Isler et al 2008,18000,10300,1.748,Isler et al 2008,66.1,1,8.2,8.2,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,608.33,171,363.96,450,1.01,Jones et al. 2009,12.72,459.4,21.6,572.4,1620.7,Jones et al. 2009,17.37,Jones et al. 2009,11,Nunn et al. 2003,2.339,88,7,,,2.743,Plavcan & Ruff 2008,29.7,24.8,26,16.2,Kamilar 2006
Semnopithecus_entellus,Cercopithecidae,Semnopithecus,entellus,110.93,104.55,Isler et al 2008,18144,11340,1.6,Isler et al 2008,30.2,1.8,11.5,6.39,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,507.95,192,402.1,300,1.02,Jones et al. 2009,23.49,788.2,25.4,652.8,1435.8,Jones et al. 2009,1.3,Jones et al. 2009,0.5,Nunn et al. 2003,0.3886,52,51,2,Nunn et al 2003,2.058,Plavcan & Ruff 2008,25.7,13.1,41.8,7.4,Kamilar 2006
Theropithecus_gelada,Cercopithecidae,Theropithecus,gelada,133.33,124.52,Isler et al 2008,19000,11700,1.624,Isler et al 2008,10,1.5,4.1,2.73,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,766.5,168,494.95,336,1.01,Jones et al. 2009,10.95,924.9,17.3,900.3,1483.3,Jones et al. 2009,1.16,Jones et al. 2009,2.5,Pontzer and Kamilar 2006,2.0571,26,94,0,Nunn et al 2003,3.229,Plavcan & Ruff 2008,47.7,17.5,15.1,18.3,Kamilar 2006
Nasalis_larvatus,Cercopithecidae,Nasalis,larvatus,92.3,83.84,Isler et al 2008,19391.8,9729.6,1.993,Isler et al 2008,12,1,3.7,3.7,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,547.5,166,211.75,252,1.02,Jones et al. 2009,1.42,2570.8,25,1684,1721,Jones et al. 2009,3.73,Campbell et al. 2007,0.65,Pontzer and Kamilar 2006,0.2983,36,56,0,Kappeler & Pereira 2003,2.203,Plavcan & Ruff 2008,,,,,
Papio_cynocephalus,Cercopithecidae,Papio,cynocephalus,163.19,156.13,Isler et al 2008,22300,12000,1.858,Isler et al 2008,55,7,19.4,2.77,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,669.16,172.99,450.42,540,1.01,Jones et al. 2009,-5.96,864.2,23,876.6,1524,Jones et al. 2009,14.95,Jones et al. 2009,5.9,Nunn et al. 2003,1.3523,62,21,5,Nunn et al 2003,3.003,Plavcan & Ruff 2008,43.3,25.4,20.2,6.46,Kamilar 2006
Papio_anubis,Cercopithecidae,Papio,anubis,167.42,152.45,Isler et al 2008,23000,13300,1.729,Isler et al 2008,57.7,7.2,17.5,2.43,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,752.81,178.96,596.6,302.4,1.01,Jones et al. 2009,8.04,982.4,24.3,1020.2,1584.1,Jones et al. 2009,4.83,Jones et al. 2009,4.6,Nunn et al. 2003,1.8549,42.3,25.1,6.7,,2.221,Plavcan & Ruff 2008,36.1,24.1,26.2,13.8,Kamilar 2006
Papio_ursinus,Cercopithecidae,Papio,ursinus,178,165,Isler et al 2008,29800,14800,2.014,Isler et al 2008,34.7,6.7,13.9,2.07,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,882.08,185.92,877.09,540,1.01,Jones et al. 2009,-24.42,419,18.5,581.8,1264.6,Jones et al. 2009,9.12,Jones et al. 2009,5.6,Nunn et al. 2003,1.6434,,12,1,Nunn et al 2003,3.839,Plavcan & Ruff 2008,45,23.5,22,9.5,Kamilar 2006
Mandrillus_sphinx,Cercopithecidae,Mandrillus,sphinx,153.88,146.63,Isler et al 2008,34400,12800,2.688,Isler et al 2008,,,,,,521.64,173,348.01,555.96,1.02,Jones et al. 2009,-0.76,1611.8,24.4,1259,1505.1,Jones et al. 2009,26.34,Jones et al. 2009,3,Pontzer and Kamilar 2006,0.518,,,,,5.263,Plavcan & Ruff 2008,,,,,
Pan_paniscus,Hominidae,Pan,paniscus,341.29,326.25,Isler et al 2008,45000,33200,1.355,Isler et al 2008,85.1,7,10.9,1.56,Kamilar 2006; van Schaik et al. 1999,1715.5,232,1081.31,576,1.01,Jones et al. 2009,-1.66,1611.2,25,1538.7,1601.6,Jones et al. 2009,27.93,Jones et al. 2009,2.4,Nunn et al. 2003,0.4025,,15,2,Nunn et al 2003,1.384,Plavcan & Ruff 2008,35.2,14.5,37.4,,Kamilar 2006
Pan_troglodytes,Hominidae,Pan,troglodytes,368.35,350.54,Isler et al 2008,49566.7,40366.7,1.228,Isler et al 2008,63.1,8.7,25.2,2.9,Kamilar 2006; van Schaik et al. 1999,1825,229,1260.81,720,1.05,Jones et al. 2009,2.2,1497.2,24.2,1297.1,1558.1,Jones et al. 2009,10.85,Jones et al. 2009,3.8,Nunn et al. 2003,1.0224,66,26,7,Nunn et al 2003,1.423,Plavcan & Ruff 2008,57.63,12.15,30.23,23.5,wendy dataset; Sussman et al. 2005
Pongo_pygmaeus,Hominidae,Pongo,pygmaeus,377.38,337.72,Isler et al 2008,80136.9,36947.6,2.169,Isler et al 2008,2,1,1,1,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,2007.5,249,1088.8,720,1.07,Jones et al. 2009,1.33,2587,23.8,1676.6,1691.7,Jones et al. 2009,3.88,Jones et al. 2009,0.5,Nunn et al. 2003,0.225,64,18,3,Nunn et al 2003,1.693,Plavcan & Ruff 2008,42.4,15.4,41,1.2,Kamilar 2006
Pongo_abelii,Hominidae,Pongo,abelii,389.5,341.21,Isler et al 2008,84482.5,41148,2.053,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,Plavcan & Ruff 2008,,,,,
Gorilla_beringei,Hominidae,Gorilla,beringei,491.27,480.15,Isler et al 2008,162500,97500,1.667,Isler et al 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gorilla_gorilla,Hominidae,Gorilla,gorilla,490.41,455.89,Isler et al 2008,170400,71500,2.383,Isler et al 2008,7.1,1.8,4.4,2.44,van Schaik et al. 1999; Kappeler and Pereira 2003; Nunn & van Schaik 2000,1430.8,256,920.35,648,1.05,Jones et al. 2009,0.88,1528.8,24.2,1291.1,1502.7,Jones et al. 2009,4.03,Jones et al. 2009,0.86,Nunn et al. 2003,0.3797,11,93,0,Nunn et al 2003,1.739,Plavcan & Ruff 2008,52.6,9.55,35.5,5.8,wendy dataset; Sussman et al. 2005