Scientific_Name,Family,Genus,Species,Brain_Size_Species_Mean,Brain_Size_Female_Mean,Body_mass_male_mean,Body_mass_female_mean,Mass_Dimorphism
Callithrix_pygmaea,Cebidae,Callithrix,pygmaea,4.17,4.33,110,122,0.902
Callithrix_jacchus,Cebidae,Callithrix,jacchus,7.24,7.05,318,322,0.988
Callithrix_penicillata,Cebidae,Callithrix,penicillata,7.32,7.38,343.8,311.7,1.103
Saguinus_fuscicollis,Cebidae,Saguinus,fuscicollis,7.94,8.03,404.6,396.6,1.02
Callithrix_argentata,Cebidae,Callithrix,argentata,7.95,8.36,330,360,0.917
Saguinus_niger,Cebidae,Saguinus,niger,9.48,9.62,380,370,1.027
Saguinus_leucopus,Cebidae,Saguinus,leucopus,9.7,9.61,510,539,0.946
Saguinus_oedipus,Cebidae,Saguinus,oedipus,9.76,9.92,416.6,445.1,0.936
Saguinus_midas,Cebidae,Saguinus,midas,9.78,9.98,535,591,0.905
Saguinus_geoffroyi,Cebidae,Saguinus,geoffroyi,10.14,10.19,499.3,534.4,0.934
Saguinus_mystax,Cebidae,Saguinus,mystax,11.09,10.99,629.3,538,1.17
Callimico_goeldii,Cebidae,Callimico,goeldii,11.43,11.9,499,468,1.066
Leontopithecus_chrysomelas,Cebidae,Leontopithecus,chrysomelas,11.84,11.86,610,700,0.871
Leontopithecus_rosalia,Cebidae,Leontopithecus,rosalia,12.83,12.67,620,598,1.037
Aotus_lemurinus,Cebidae,Aotus,lemurinus,16.3,16.25,752.8,716.1,1.051
Aotus_trivirgatus,Cebidae,Aotus,trivirgatus,16.85,16.13,1044.4,933.3,1.119
Aotus_azarai,Cebidae,Aotus,azarai,20.67,20.69,1180,1230,0.959
Saimiri_sciureus,Cebidae,Saimiri,sciureus,24.14,24.02,855,742.5,1.152
Saimiri_oerstedii,Cebidae,Saimiri,oerstedii,25.07,25.52,897,680,1.319
Alouatta_palliata,Atelidae,Alouatta,palliata,49.88,48.04,7150,5350,1.336
Alouatta_pigra,Atelidae,Alouatta,pigra,51.13,48.75,11400,6430,1.773
Alouatta_guariba,Atelidae,Alouatta,guariba,51.7,49.08,5800,4550,1.275
Alouatta_caraya,Atelidae,Alouatta,caraya,52.63,47.8,6525,4240,1.539
Alouatta_belzebul,Atelidae,Alouatta,belzebul,52.84,51.19,7270,5520,1.317
Alouatta_seniculus,Atelidae,Alouatta,seniculus,55.22,54.26,6690,5210,1.284
Macaca_fascicularis,Cercopithecidae,Macaca,fascicularis,63.98,62.14,4984.2,3517.9,1.417
Cebus_albifrons,Cebidae,Cebus,albifrons,65.45,63.24,3180,2290,1.389
Cebus_xanthosternos,Cebidae,Cebus,xanthosternos,66.09,64,2714.3,2166.7,1.253
Cebus_apella,Cebidae,Cebus,apella,66.63,64.32,3382.8,2489.1,1.359
Macaca_sinica,Cercopithecidae,Macaca,sinica,69.7,66,5680,3200,1.775
Cebus_olivaceus,Cebidae,Cebus,olivaceus,69.84,68.38,3229.2,2633.3,1.226
Cebus_capucinus,Cebidae,Cebus,capucinus,72.93,72.12,3285.8,2436.5,1.349
Macaca_radiata,Cercopithecidae,Macaca,radiata,74.87,69.38,6312.5,3855.7,1.637
Macaca_cyclopis,Cercopithecidae,Macaca,cyclopis,82,73,6000,4940,1.215
Macaca_silenus,Cercopithecidae,Macaca,silenus,85,80,8900,6100,1.459
Macaca_leonina,Cercopithecidae,Macaca,leonina,85.6,82.12,6520.5,4762.7,1.369
Macaca_mulatta,Cercopithecidae,Macaca,mulatta,88.98,84.26,7915.1,5670.5,1.396
Macaca_assamensis,Cercopithecidae,Macaca,assamensis,90.46,88.3,11300,6900,1.638
Macaca_sylvanus,Cercopithecidae,Macaca,sylvanus,93.2,97.93,14530.3,9625,1.51
Macaca_nigra,Cercopithecidae,Macaca,nigra,94.9,84.5,9890,5470,1.808
Lagothrix_lagotricha,Atelidae,Lagothrix,lagotricha,96.5,98,7280,7020,1.037
Macaca_arctoides,Cercopithecidae,Macaca,arctoides,100.7,99.8,12200,8400,1.452
Macaca_fuscata,Cercopithecidae,Macaca,fuscata,102.92,96.78,10970,8030,1.366
Ateles_paniscus,Atelidae,Ateles,paniscus,103.85,101.2,8490,8070,1.052
Ateles_geoffroyi,Atelidae,Ateles,geoffroyi,105.09,109.59,7780,7290,1.067
Macaca_nemestrina,Cercopithecidae,Macaca,nemestrina,105.59,100.65,11102.7,6539.2,1.698
Ateles_fusciceps,Atelidae,Ateles,fusciceps,114.24,108.74,8890,9160,0.971
Brachyteles_arachnoides,Atelidae,Brachyteles,arachnoides,116.72,115.94,9610,8070,1.191
Ateles_belzebuth,Atelidae,Ateles,belzebuth,117.02,112.75,7850,8484.4,0.925
Mandrillus_leucophaeus,Cercopithecidae,Mandrillus,leucophaeus,148,136,17500,12500,1.4
Mandrillus_sphinx,Cercopithecidae,Mandrillus,sphinx,153.88,146.63,34400,12800,2.688